Name,Family,Max Thickness (%),x-Locationof Max Thickness (%),Camber (%),Data Sources,Cl max,Cl/Cd max,Cd @ Cl=0.1,Cd @ Cl=0.4,Cd @ Cl=0.6
GA 30A411,Riblett 30-series,10,30.1,3.3,JF XF,1.58,106,0.008,0.008,0.008
GA 30A412,Riblett 30-series,12,30.1,3.3,JF XF,1.64,105,0.009,0.008,0.009
GA 30A413,Riblett 30-series,11,30.1,3.3,JF XF,1.71,102,0.009,0.009,0.009
GA 30A414,Riblett 30-series,13,30.1,3.3,JF XF,1.78,103,0.009,0.009,0.01
GA 30A415,Riblett 30-series,15,30.1,3.3,JF XF,1.85,103,0.009,0.009,0.01
GA 30A416,Riblett 30-series,14,30.1,3.3,JF XF,1.93,99,0.01,0.01,0.01
GA 30A417,Riblett 30-series,16,30.1,3.3,JF XF,2,100,0.01,0.01,0.011
GA 30A418,Riblett 30-series,18,30.1,3.3,JF XF,2.08,98,0.011,0.011,0.011
GA 30A419,Riblett 30-series,17,30.1,3.3,JF XF,2.15,98,0.011,0.011,0.012
GA 30A420,Riblett 30-series,19,30.1,3.3,JF XF,2.22,97,0.011,0.011,0.012
GA 30A610,Riblett 30-series,20,30.1,3.3,JF XF,1.6,119,0.008,0.008,0.008
GA 30A611,Riblett 30-series,10,30.1,4.5,JF XF,1.7,116,0.008,0.008,0.008
GA 30A612,Riblett 30-series,12,30.1,4.5,JF XF,1.76,111,0.009,0.008,0.008
GA 30A613,Riblett 30-series,11,30.1,4.5,JF XF,1.84,112,0.009,0.009,0.009
GA 30A614,Riblett 30-series,13,30.1,4.5,JF XF,1.92,111,0.009,0.009,0.009
GA 30A615,Riblett 30-series,15,30.1,4.5,JF XF,2,107,0.01,0.01,0.01
GA 30A616,Riblett 30-series,14,30.1,4.5,JF XF,2.07,108,0.01,0.01,0.01
GA 30A617,Riblett 30-series,16,30.1,4.5,JF XF,2.15,105,0.01,0.01,0.011
GA 30A618,Riblett 30-series,18,30.1,4.5,JF XF,2.22,105,0.011,0.01,0.011
GA 30A619,Riblett 30-series,17,30.1,4.5,JF XF,2.29,104,0.011,0.011,0.011
